0.003, 0.003, 0.005, 0.005, 0.011, 0.013, 0.037, 0.055, 0.09, 0.134, 0.181, 0.303, 0.55, 0.66, 0.706, 0.755, 0.795, 0.796, 0.793, 0.789, 0.817, 0.801, 0.813, 0.815, 0.826
0.022, 0.037, 0.074, 0.093, 0.154, 0.22, 0.289, 0.429, 0.538, 0.673, 0.768, 0.891, 0.993, 1, 1, 0.999, 0.999, 1, 1, 0.999, 1, 1, 1, 1, 1
0.124, 0.165, 0.243, 0.344, 0.423, 0.527, 0.657, 0.745, 0.85, 0.914, 0.954, 0.995, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
0.333, 0.406, 0.519, 0.597, 0.718, 0.825, 0.878, 0.937, 0.961, 0.992, 0.997, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
0.565, 0.694, 0.75, 0.839, 0.91, 0.936, 0.966, 0.986, 0.992, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
0.811, 0.866, 0.915, 0.96, 0.969, 0.989, 0.996, 0.998, 0.999, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
0.936, 0.944, 0.975, 0.99, 0.999, 0.998, 1, 0.999, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
0.984, 0.991, 0.995, 1, 0.998, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
0.994, 0.999, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
0.998, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998, 0.999
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998, 0.996, 0.994, 0.984
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998, 0.995, 0.982, 0.979, 0.96
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.997, 0.989, 0.977, 0.952, 0.913, 0.893
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.995, 0.989, 0.964, 0.933, 0.88, 0.842, 0.748
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998, 0.996, 0.98, 0.932, 0.878, 0.81, 0.739, 0.687, 0.602
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.999, 0.999, 0.995, 0.972, 0.903, 0.835, 0.746, 0.671, 0.552, 0.504, 0.378
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.992, 0.973, 0.907, 0.787, 0.652, 0.58, 0.442, 0.338, 0.278, 0.209
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.999, 0.999, 0.989, 0.97, 0.907, 0.704, 0.592, 0.475, 0.361, 0.252, 0.183, 0.124, 0.081
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.999, 1, 0.998, 0.988, 0.959, 0.865, 0.688, 0.492, 0.379, 0.262, 0.184, 0.112, 0.065, 0.038, 0.027
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.996, 0.99, 0.967, 0.875, 0.653, 0.43, 0.286, 0.187, 0.128, 0.071, 0.034, 0.014, 0.012, 0.009
1, 1, 1, 1, 1, 1, 1, 1, 0.999, 0.997, 0.993, 0.983, 0.965, 0.907, 0.694, 0.386, 0.218, 0.126, 0.078, 0.03, 0.019, 0.016, 0.004, 0.002, 0.003
0.999, 0.999, 1, 0.998, 0.998, 0.999, 0.999, 0.998, 0.997, 0.989, 0.983, 0.949, 0.891, 0.713, 0.437, 0.188, 0.081, 0.042, 0.021, 0.011, 0.005, 0, 0, 0, 0
0.999, 0.995, 0.992, 0.989, 0.991, 0.991, 0.986, 0.984, 0.971, 0.957, 0.939, 0.869, 0.733, 0.427, 0.178, 0.062, 0.022, 0.011, 0.005, 0.002, 0, 0, 0, 0, 0
0.972, 0.949, 0.957, 0.944, 0.942, 0.921, 0.924, 0.913, 0.889, 0.837, 0.766, 0.67, 0.447, 0.172, 0.047, 0.012, 0.006, 0.004, 0, 0.001, 0, 0, 0, 0, 0
0.455, 0.43, 0.403, 0.372, 0.363, 0.338, 0.315, 0.323, 0.276, 0.218, 0.181, 0.124, 0.067, 0.016, 0.002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.001, 0.001, 0.006, 0.006, 0.007, 0.016, 0.034, 0.039, 0.083, 0.129, 0.181, 0.264, 0.529, 0.644, 0.681, 0.741, 0.778, 0.761, 0.791, 0.79, 0.811, 0.772, 0.813, 0.81, 0.841
0.015, 0.025, 0.05, 0.07, 0.135, 0.202, 0.3, 0.382, 0.509, 0.646, 0.732, 0.875, 0.991, 1, 0.999, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
0.09, 0.141, 0.208, 0.264, 0.405, 0.482, 0.612, 0.721, 0.823, 0.914, 0.944, 0.998, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
0.27, 0.391, 0.444, 0.558, 0.684, 0.783, 0.873, 0.915, 0.955, 0.974, 0.996, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
0.538, 0.638, 0.72, 0.828, 0.874, 0.943, 0.957, 0.98, 0.992, 0.993, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
0.771, 0.847, 0.905, 0.931, 0.962, 0.981, 0.991, 0.993, 0.998, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
0.908, 0.948, 0.982, 0.982, 0.989, 0.999, 0.997, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
0.977, 0.983, 0.992, 0.997, 0.998, 0.999, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
0.996, 0.997, 1, 0.999, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.999, 1
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.999, 0.997
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.999, 0.995, 0.993
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998, 0.99, 0.985, 0.974
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998, 0.996, 0.982, 0.976, 0.944, 0.918
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.999, 0.997, 0.993, 0.974, 0.934, 0.921, 0.854, 0.826
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998, 0.998, 0.987, 0.961, 0.909, 0.875, 0.812, 0.716, 0.623
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998, 0.999, 0.995, 0.987, 0.928, 0.86, 0.8, 0.724, 0.648, 0.546, 0.463
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.999, 0.999, 0.996, 0.983, 0.929, 0.823, 0.745, 0.657, 0.513, 0.414, 0.351, 0.247
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998, 1, 0.992, 0.969, 0.901, 0.752, 0.644, 0.514, 0.427, 0.317, 0.22, 0.186, 0.106
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.996, 0.991, 0.978, 0.914, 0.769, 0.544, 0.459, 0.314, 0.238, 0.155, 0.095, 0.054, 0.046
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998, 0.992, 0.97, 0.901, 0.736, 0.456, 0.341, 0.247, 0.135, 0.093, 0.048, 0.024, 0.015, 0.008
