0.001, 0.004, 0.004, 0.007, 0.013, 0.02, 0.041, 0.059, 0.089, 0.127, 0.203, 0.253, 0.544, 0.649, 0.735, 0.736, 0.767, 0.788, 0.798, 0.813, 0.808, 0.833, 0.816, 0.827, 0.855
0.024, 0.032, 0.053, 0.09, 0.162, 0.231, 0.319, 0.411, 0.517, 0.648, 0.783, 0.895, 0.995, 0.999, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.999, 0.999
0.074, 0.141, 0.185, 0.292, 0.413, 0.484, 0.624, 0.755, 0.831, 0.908, 0.946, 0.999, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.999, 0.998, 1
0.249, 0.313, 0.425, 0.563, 0.677, 0.784, 0.842, 0.932, 0.955, 0.98, 0.997, 0.999, 1, 1, 1, 1, 1, 1, 1, 1, 0.999, 0.999, 1, 1, 0.995
0.486, 0.567, 0.682, 0.778, 0.845, 0.92, 0.953, 0.978, 0.986, 0.996, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998, 0.991, 0.982
0.7, 0.774, 0.872, 0.916, 0.949, 0.972, 0.99, 0.995, 0.998, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.999, 1, 1, 0.994, 0.991, 0.974, 0.914
0.848, 0.917, 0.945, 0.982, 0.991, 0.998, 0.996, 0.999, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998, 0.997, 0.992, 0.972, 0.937, 0.856
0.943, 0.971, 0.99, 0.994, 0.998, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.999, 0.999, 0.995, 0.99, 0.979, 0.951, 0.87, 0.752
0.978, 0.989, 0.996, 1, 1, 0.999, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998, 0.998, 0.993, 0.985, 0.942, 0.867, 0.76, 0.635
0.99, 0.998, 0.999, 0.999, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998, 0.998, 0.997, 0.981, 0.948, 0.871, 0.743, 0.563, 0.514
0.999, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.999, 1, 0.996, 0.992, 0.978, 0.949, 0.862, 0.76, 0.566, 0.459, 0.403
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.999, 0.999, 0.999, 0.994, 0.981, 0.942, 0.895, 0.771, 0.552, 0.453, 0.362, 0.261
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.999, 0.999, 0.992, 0.982, 0.951, 0.912, 0.738, 0.552, 0.376, 0.327, 0.212, 0.163
1, 1, 1, 1, 1, 1, 0.999, 1, 1, 1, 1, 0.999, 0.999, 1, 0.996, 0.989, 0.954, 0.899, 0.793, 0.624, 0.374, 0.26, 0.174, 0.138, 0.086
1, 1, 1, 1, 1, 1, 1, 1, 1, 0.999, 1, 0.999, 0.996, 0.993, 0.992, 0.968, 0.94, 0.823, 0.627, 0.403, 0.244, 0.162, 0.121, 0.073, 0.037
1, 1, 1, 1, 1, 1, 1, 1, 1, 0.999, 1, 0.997, 0.996, 0.989, 0.962, 0.935, 0.843, 0.686, 0.422, 0.218, 0.142, 0.089, 0.06, 0.038, 0.015
1, 1, 1, 1, 0.999, 1, 1, 1, 1, 1, 0.995, 0.994, 0.99, 0.976, 0.937, 0.883, 0.735, 0.473, 0.203, 0.113, 0.071, 0.045, 0.018, 0.023, 0.002
1, 1, 1, 1, 1, 1, 0.997, 1, 0.999, 1, 0.997, 0.993, 0.978, 0.947, 0.893, 0.782, 0.551, 0.255, 0.115, 0.061, 0.042, 0.015, 0.007, 0, 0.002
1, 1, 1, 1, 1, 0.999, 1, 0.997, 0.995, 0.999, 0.991, 0.987, 0.97, 0.908, 0.801, 0.612, 0.297, 0.116, 0.045, 0.028, 0.008, 0.003, 0.002, 0, 0
0.998, 0.997, 0.998, 1, 0.997, 1, 0.997, 0.996, 0.996, 0.992, 0.98, 0.963, 0.921, 0.829, 0.669, 0.374, 0.13, 0.051, 0.023, 0.012, 0.003, 0, 0.001, 0, 0
0.997, 0.998, 0.997, 0.998, 0.997, 0.999, 0.995, 0.991, 0.987, 0.982, 0.948, 0.929, 0.879, 0.72, 0.498, 0.175, 0.05, 0.016, 0.007, 0.003, 0.001, 0, 0.001, 0, 0
0.993, 0.989, 0.994, 0.99, 0.988, 0.985, 0.985, 0.972, 0.968, 0.95, 0.928, 0.878, 0.768, 0.605, 0.244, 0.065, 0.023, 0.009, 0.002, 0.001, 0.001, 0, 0, 0, 0
0.979, 0.976, 0.976, 0.975, 0.973, 0.973, 0.957, 0.962, 0.926, 0.922, 0.849, 0.786, 0.592, 0.339, 0.098, 0.029, 0.004, 0.001, 0.001, 0, 0, 0, 0, 0, 0
0.921, 0.929, 0.905, 0.914, 0.907, 0.883, 0.888, 0.883, 0.815, 0.748, 0.684, 0.553, 0.379, 0.115, 0.024, 0.006, 0.001, 0, 0.001, 0, 0, 0, 0, 0, 0
0.434, 0.411, 0.391, 0.353, 0.361, 0.333, 0.3, 0.281, 0.266, 0.218, 0.162, 0.1, 0.05, 0.013, 0.001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.001, 0.002, 0, 0.004, 0.012, 0.015, 0.037, 0.061, 0.093, 0.118, 0.176, 0.254, 0.579, 0.637, 0.7, 0.744, 0.762, 0.778, 0.773, 0.825, 0.809, 0.803, 0.812, 0.813, 0.844
0.011, 0.018, 0.046, 0.07, 0.119, 0.179, 0.302, 0.365, 0.505, 0.615, 0.746, 0.885, 0.997, 0.999, 1, 1, 1, 1, 1, 0.999, 1, 1, 1, 1, 0.998
0.069, 0.12, 0.177, 0.277, 0.367, 0.479, 0.578, 0.724, 0.788, 0.872, 0.942, 0.996, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.997
0.198, 0.293, 0.403, 0.539, 0.654, 0.736, 0.813, 0.891, 0.938, 0.983, 0.993, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.999, 0.994
0.46, 0.499, 0.61, 0.72, 0.823, 0.893, 0.951, 0.977, 0.987, 0.994, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.999, 0.998, 0.991, 0.99
0.623, 0.759, 0.825, 0.923, 0.929, 0.962, 0.984, 0.992, 0.996, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998, 0.993, 0.988, 0.958
0.823, 0.872, 0.931, 0.965, 0.981, 0.995, 0.998, 0.999, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.999, 1, 1, 0.999, 0.993, 0.99, 0.961, 0.899
0.92, 0.956, 0.98, 0.989, 0.995, 0.999, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.999, 1, 0.998, 0.993, 0.991, 0.954, 0.927, 0.812
0.975, 0.989, 0.995, 0.999, 0.998, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998, 0.995, 0.988, 0.972, 0.922, 0.821, 0.744
0.989, 1, 0.995, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998, 0.999, 0.995, 0.992, 0.967, 0.917, 0.812, 0.656, 0.612
0.995, 0.997, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.999, 0.995, 0.986, 0.969, 0.916, 0.824, 0.661, 0.584, 0.477
1, 1, 0.999, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998, 0.997, 0.989, 0.97, 0.94, 0.829, 0.656, 0.541, 0.407, 0.332
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.999, 0.998, 0.993, 0.964, 0.938, 0.86, 0.666, 0.472, 0.398, 0.305, 0.218
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.999, 0.999, 0.998, 0.995, 0.981, 0.941, 0.859, 0.691, 0.467, 0.367, 0.268, 0.188, 0.138
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998, 0.997, 0.996, 0.983, 0.954, 0.893, 0.737, 0.481, 0.32, 0.238, 0.176, 0.096, 0.053
