0.001, 0, 0.005, 0.004, 0.01, 0.019, 0.03, 0.046, 0.092, 0.14, 0.196, 0.263, 0.573, 0.655, 0.716, 0.752, 0.764, 0.765, 0.787, 0.796, 0.795, 0.823, 0.809, 0.847, 0.836
0.015, 0.032, 0.051, 0.082, 0.159, 0.233, 0.328, 0.43, 0.551, 0.659, 0.761, 0.883, 0.989, 1, 1, 1, 1, 1, 0.998, 1, 1, 0.999, 0.997, 0.999, 0.994
0.078, 0.136, 0.201, 0.291, 0.418, 0.523, 0.67, 0.755, 0.838, 0.886, 0.952, 0.997, 1, 1, 1, 1, 1, 1, 1, 1, 0.999, 0.999, 1, 0.997, 0.986
0.233, 0.324, 0.453, 0.568, 0.639, 0.764, 0.859, 0.909, 0.957, 0.984, 0.997, 1, 1, 1, 1, 1, 1, 1, 0.999, 1, 1, 0.994, 0.997, 0.99, 0.967
0.489, 0.58, 0.713, 0.796, 0.848, 0.916, 0.955, 0.973, 0.993, 0.997, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.999, 0.998, 0.995, 0.988, 0.974, 0.94
0.702, 0.795, 0.861, 0.91, 0.953, 0.977, 0.988, 1, 0.998, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.995, 0.998, 0.995, 0.988, 0.977, 0.954, 0.861
0.846, 0.912, 0.949, 0.971, 0.99, 0.999, 0.999, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.999, 0.997, 0.994, 0.988, 0.96, 0.946, 0.884, 0.729
0.945, 0.966, 0.988, 0.99, 0.997, 0.998, 1, 1, 1, 1, 1, 1, 1, 1, 0.999, 1, 0.998, 0.999, 0.997, 0.987, 0.978, 0.944, 0.893, 0.764, 0.591
0.983, 0.99, 0.996, 0.998, 0.999, 0.999, 1, 1, 1, 1, 1, 1, 0.999, 1, 1, 0.999, 0.995, 0.995, 0.99, 0.979, 0.948, 0.889, 0.781, 0.623, 0.532
0.995, 0.999, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.999, 1, 0.999, 0.999, 0.994, 0.987, 0.979, 0.959, 0.883, 0.798, 0.625, 0.491, 0.35
0.999, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998, 0.999, 0.999, 0.988, 0.98, 0.959, 0.91, 0.81, 0.632, 0.446, 0.345, 0.27
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.997, 0.998, 1, 0.994, 0.985, 0.967, 0.926, 0.844, 0.695, 0.458, 0.296, 0.238, 0.177
