0.001, 0.001, 0.004, 0.005, 0.006, 0.023, 0.036, 0.058, 0.097, 0.139, 0.182, 0.28, 0.6, 0.65, 0.693, 0.755, 0.773, 0.777, 0.796, 0.819, 0.806, 0.826, 0.826, 0.792, 0.85
0.019, 0.028, 0.066, 0.094, 0.138, 0.224, 0.305, 0.413, 0.523, 0.666, 0.768, 0.884, 0.994, 1, 1, 1, 1, 1, 1, 0.999, 1, 0.999, 1, 1, 1
0.089, 0.15, 0.221, 0.294, 0.41, 0.52, 0.653, 0.737, 0.826, 0.882, 0.951, 0.998, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
0.267, 0.347, 0.444, 0.561, 0.653, 0.774, 0.857, 0.924, 0.962, 0.977, 0.998, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.995
0.479, 0.57, 0.717, 0.794, 0.87, 0.908, 0.955, 0.983, 0.99, 0.998, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.999, 1, 0.999, 0.994
0.685, 0.796, 0.852, 0.928, 0.963, 0.979, 0.994, 0.998, 0.999, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998, 0.999, 0.996, 0.99
0.86, 0.906, 0.949, 0.982, 0.992, 0.994, 0.999, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.997, 0.999, 0.995, 0.981, 0.938
0.942, 0.975, 0.988, 0.991, 0.995, 0.999, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998, 0.999, 0.991, 0.984, 0.95, 0.897
0.988, 0.988, 0.993, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998, 1, 0.996, 0.98, 0.942, 0.865, 0.797
0.995, 0.998, 0.999, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.999, 0.997, 0.991, 0.978, 0.947, 0.86, 0.769, 0.685
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.999, 0.996, 0.977, 0.937, 0.862, 0.749, 0.651, 0.509
0.999, 0.999, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.999, 0.996, 0.994, 0.985, 0.938, 0.851, 0.722, 0.558, 0.482, 0.395
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.999, 1, 1, 0.997, 0.981, 0.946, 0.868, 0.709, 0.549, 0.439, 0.365, 0.285
